user,story,comment
mwolf8078,14023198,1
gtrubetskoy,13369510,1
ClayFerguson,13584097,1
andy_ppp,13976938,1
tacostakohashi,14476421,1
api_or_ipa,15360362,1
dman,15502142,1
mevile,13717321,1
holmberd,14498724,1
kozikow,15321850,1
ryanjl,14118290,1
jetcom,13301832,1
dfar1,13312629,1
NewsNow,15148885,1
AdamFernandez,15844904,1
AndrewKemendo,14195664,1
llcoolv,13785564,1
Aissen,15448996,1
emperorcezar,13531707,1
wnevets,13531707,1
nodamage,15085159,1
jtl999,15085159,1
Arbalest,15956811,1
Andrenid,15246348,1
iwintermute,15243202,1
bsenftner,15230871,1
nickolasclarke,14023198,1
fishmeat,15969511,1
kristinafoley,14310617,1
runeks,14914447,1
JepZ,15559428,1
ah-,15400037,1
brilliantcode,13718586,1
qiv,13571847,1
inopinatus,13656192,1
daveheq,15813107,1
nihonde,14477851,1
hprotagonist,14417758,1
hownottowrite,14418877,1
yeukhon,15189949,1
argsno,15189949,1
newy,15148885,1
sebringj,13816627,1
linkmotif,14226775,1
iask,14011793,1
mavdi,14011793,1
a_bonobo,14011793,1
jph00,13909656,1
piyush_soni,14356409,1
subirm,15909395,1
merraksh,13994203,1
jakozaur,15921692,1
olegkikin,14606812,1
achou,15421704,1
bertr4nd,13918465,1
keithnz,14297289,1
matt_bye,15148885,1
amorphid,15543371,1
PleaseHelpMe,15037960,1
rbanffy,15243202,1
traitormonkey,15243202,1
iLoch,13601451,1
warcher,13601451,1
brian-armstrong,15892066,1
nlightcho,13755673,1
AtheistOfFail,13755673,1
Clubber,15142853,1
powera,13717321,1
znpy,13450143,1
mathattack,14656945,1
ForFreedom,15919115,1
dkarapetyan,13421608,1
dom96,13660086,1
wanghq,14766889,1
dep_b,14361425,1
throwaway897867,15384262,1
gmandiant,15384262,1
cldwalker,15384262,1
CamperBob2,15265507,1
cprayingmantis,15196309,1
mixmastamyk,13668916,1
major505,15892066,1
cl0rkster,14807779,1
cmac2992,14718089,1
solatic,13419444,1
Yetanfou,15584456,1
wyred,15448996,1
agumonkey,13958366,1
ohstopitu,13365430,1
gshulegaard,15008636,1
rayjay217,14911467,1
weeksie,15723772,1
tankenmate,15723926,1
f_allwein,13668916,1
lousken,15210022,1
brooksyd2,13326535,1
robinwarren,13326535,1
Jack000,14718089,1
knicholes,14483409,1
ewams,14048812,1
hutzlibu,14048812,1
brianbreslin,15714318,1
iRobbery,15133919,1
cedricium,15133919,1
nnd,13629593,1
starikovs,14170041,1
_Codemonkeyism,15228712,1
beamatronic,15237896,1
Koshkin,13552747,1
ocdtrekkie,15808124,1
sandworm101,13798130,1
foomoo,14238005,1
beders,14892980,1
bcaulfield,13437905,1
EGreg,15789108,1
panic,15423202,1
nnd,15230871,1
tadruj,13792309,1
tannhaeuser,13966241,1
draw_down,13924546,1
ken47,15543371,1
dream42,15306398,1
mhluongo,13301832,1
rajathagasthya,14149570,1
Goopplesoft,13297792,1
larrywright,15451442,1
moss_whitney,15824597,1
locusm,13909365,1
Raphmedia,13410510,1
eggpy,15657887,1
noffle_,14050049,1
DoodleBuggy,15424478,1
paulpauper,13857086,1
pavanky,13867016,1
nunez,13682949,1
FreakyT,13682949,1
DeepYogurt,14962634,1
openloop,14754772,1
jfoster,13718586,1
ThrustVectoring,13718752,1
nialv7,13719368,1
calebm,14338411,1
elorant,14733829,1
NelsonMinar,14673777,1
postnihilism,14952787,1
frik,14043631,1
pjmlp,14043631,1
aturek,14238005,1
T3RMINATED,14919845,1
TheRealPomax,13329525,1
wireedin,14223020,1
pbreit,13840282,1
anemic,15281364,1
jron,14498724,1
ChicagoBoy11,14498724,1
bakli,15050841,1
kevinalexbrown,13484372,1
Animats,13439828,1
arielm,14152688,1
amelius,15951825,1
justjash,15947540,1
Neliquat,14054785,1
boona,13726886,1
amelius,15360362,1
viach,14299628,1
saosebastiao,13831277,1
wag,15148885,1
CurtBlockit,15148885,1
noja,15049171,1
partiallypro,13858597,1
seedifferently,13857887,1
oneeyedpigeon,14651287,1
mysterydip,14653017,1
Adam89,14578380,1
halamadrid,15990559,1
TheOtherHobbes,15017126,1
nobodyorother,15651058,1
amiga-workbench,14105489,1
6stringmerc,13561388,1
ausjke,13707547,1
peterkelly,13707547,1
sharlynnh,14023198,1
sarreph,14141454,1
stevefan1999,15917829,1
_jal,14560042,1
Abishek_Muthian,15049171,1
Ibotta,15384262,1
scosman,15384262,1
pluma,16024624,1
pamelafox,14688684,1
amelius,15694926,1
Severian,15694926,1
Neliquat,13909365,1
nnd,14947361,1
throwaway420,13647190,1
polymeris,15023766,1
jansho,14417758,1
snakeanus,15291961,1
arashdelijani,14023198,1
jamesash,13713953,1
johlindenbaum,15148885,1
julianshapiro,15148885,1
KTamasEnty,14511627,1
jayess,15502142,1
sigi45,15278883,1
nad7vx,15601729,1
lumens,15601729,1
unify_id,15601729,1
frenchie4111,15601729,1
BeniBoy,13347852,1
anabis,14976028,1
shmerl,13932226,1
predman_mat,15384262,1
jlebrech,13910925,1
abhirag,13713953,1
manigandham,13718752,1
wapz,13713480,1
sapjobs,13301832,1
rattray,13831277,1
2_listerine_pls,14384187,1
limmeau,15930916,1
zargath,15937448,1
ReverseCold,15820161,1
joelm,13541679,1
bitwize,15147660,1
bogomipz,14990137,1
bobbington,13810764,1
ddingus,15368353,1
sebbean,14505073,1
bearbearbear,15719262,1
ggoerlich,13752887,1
pg_bot,13752887,1
h4l0,14980512,1
aidos,13435634,1
BillBatw2,13414570,1
rwalker,15601729,1
sidcool,15384262,1
BryanMMMM,15384262,1
poorman,15384396,1
samcheng,15384262,1
coleifer,13741746,1
markdog12,14968626,1
problems,14703661,1
forkLding,15417019,1
brian-armstrong,15041986,1
Cieplak,14748028,1
edflsafoiewq,15631565,1
jasonlotito,13404758,1
billdybas,14836653,1
lwhalen,13576236,1
deegles,13576236,1
anm89,15857833,1
mikehines,14574444,1
madhadron,13816627,1
fiatjaf,13729525,1
burntchicken,15338382,1
merkleee,13382263,1
user-on1,15655548,1
neves,14899155,1
benmmurphy,13982620,1
unwiredben,15316175,1
embulldogs99,14806393,1
CitizenKane,14497295,1
hoju,13588070,1
mxuribe,14796381,1
vatsal,13682949,1
petetnt,15824597,1
imh,15956811,1
xigency,13317902,1
whipoodle,15200221,1
oh_sigh,14673777,1
rrherr,13939645,1
sidcool,14708350,1
anoplus,14708350,1
aabbcc1241,14750627,1
chaotic_clanger,15694926,1
hanmeimei,15585769,1
dekhn,15409376,1
a-Name,15148885,1
lightedman,14223020,1
Ultramax,14059727,1
yesokayawesome,15824597,1
brucephillips,15826445,1
mbostleman,13529213,1
mcguire,15642116,1
animex,13870199,1
animex,13870199,1
jnordwick,15275182,1
ismail,13541679,1
lukeschlather,15924093,1
bgrohman,13844389,1
andrepd,14868033,1
hedora,13529792,1
jMyles,16030838,1
kenrick95,13356318,1
dbingham,15148885,1
theatrus2,15148885,1
lambdawitch,15384262,1
ghc,15384262,1
nevir,15384262,1
kzrdude,13887295,1
pareshverma91,13656192,1
kepano,15601729,1
samk3nny,15601729,1
zwentz,15601729,1
Arathorn,13551610,1
mbr0wn,13541679,1
thraway2016,13804522,1
tanilama,15762451,1
sdalezman,14023198,1
abainbridge,14356377,1
Natalie565,15950599,1
Fricken,14796381,1
spankalee,15980653,1
234dd57d2c8dba,13817557,1
pruth,14238005,1
themodelplumber,13939645,1
nhumrich,14301739,1
Apane,14023198,1
jancsika,15631565,1
Veratyr,15127633,1
c646deeb640da30,15421704,1
ElbertF,15534034,1
rajacombinator,15651058,1
arca_vorago,13498485,1
didibus,14817557,1
g105b,15584124,1
pilif,15441537,1
mikeflynn,13426494,1
brakmic,13810015,1
nailer,14447682,1
shmerl,13338592,1
xwilders,13541679,1
edward_rolf,14531578,1
dEnglish7,14002821,1
hello_there,14002821,1
tyingq,14986324,1
alasdair_,15789108,1
paperwork,14002821,1
Neener54,14688684,1
shutty,14688684,1
contingencies,14688684,1
good_vibes,14568468,1
tudorconstantin,13481218,1
ejcx,13301832,1
nnain,13309610,1
reificator,15189949,1
foota,15189949,1
snowmaker,13541679,1
bkohlmann,15417019,1
tom_mellior,15763013,1
Sjenk,14918911,1
andrewstuart2,15321015,1
pjc50,15321015,1
wooptoo,14848786,1
lngnmn,14729400,1
kzrdude,16035402,1
jondubois,14403036,1
ClayM,15451442,1
Markoff,14545382,1
RandomBookmarks,15694118,1
ajnin,15691435,1
LukeShu,14603879,1
mfl,13541679,1
kbaker,13541679,1
aecs99,15644680,1
debt,15644680,1
013,15744359,1
gauravgupta,13862284,1
akeck,13924546,1
grogenaut,13682949,1
jphillips415,14023198,1
Kluny,13399095,1
dj-wonk,13597949,1
x1798DE,13600427,1
blahblah3,14968626,1
univerio,15368104,1
4lch3m1st,15707956,1
logfromblammo,13778543,1
maxerickson,13778543,1
akaru,13660086,1
cpdomina,15601729,1
mferland,15148885,1
everybodyknows,14219384,1
coltnz,15824597,1
jkruzek,13541679,1
bhyam,14671070,1
carlosdp,14142120,1
dstaley,14142120,1
mdip,14141454,1
alva,15031922,1
bwb,15031922,1
dhuramas,15031922,1
jlgaddis,15031922,1
backpropaganda,14182262,1
I-M-S,13541679,1
sallyfour,15800676,1
dandare,14287235,1
seanmcdirmid,14009963,1
mark-ruwt,14962634,1
alasano,15824597,1
pacaro,13408797,1
diegorbaquero,13423629,1
restlessmedia,13707547,1
cbhl,13319904,1
27hours,13830587,1
jakozaur,14911467,1
deepnotderp,14911467,1
woodandsteel,14073223,1
sanxiyn,15345483,1
jackgolding,13571847,1
bish2,14308189,1
myth_drannon,14947361,1
Animats,14226775,1
partycoder,14865043,1
theCricketer,14776357,1
nickstefan12,13755673,1
tobyhinloopen,14411126,1
avodonosov,15634609,1
dailycavalier,14238005,1
fractalf,15754287,1
bkor,14645452,1
blhack,14204702,1
Zigurd,15058351,1
mastef,14356409,1
BuckRogers,15940144,1
aaln,14620608,1
hemezh,13571847,1
signa11,13571847,1
sp332,15389727,1
daveheq,15675582,1
blubb-fish,15116379,1
animesh,15398550,1
baristaGeek,13830587,1
erikpukinskis,14087002,1
brilliantcode,14090419,1
lexiross,14023198,1
AstralStorm,13977982,1
otto_ortega,13977982,1
jancsika,14531578,1
chadcmulligan,13682949,1
antigirl,15920618,1
phjesusthatguy3,15960747,1
nealmueller,15965653,1
empressplay,15145176,1
dtech,15276833,1
deathanatos,14366825,1
bguillet,15714318,1
bespoke_engnr,15769807,1
dasenden,15771168,1
chris_mahan,13571847,1
kapauldo,15862494,1
Companion,15054252,1
GCA10,13860890,1
mmanfrin,13860890,1
known,13601451,1
The_Hoff,13989215,1
steeleduncan,15800676,1
lanius,15800676,1
lngnmn,13559581,1
pm90,13561388,1
scotty79,13559662,1
GolDDranks,15821575,1
divbit,13713480,1
smorton,14688684,1
jacquesm,15742287,1
iagooar,14911467,1
slampig,15246348,1
satishf,15407761,1
known,13867590,1
cviedmai,15601729,1
ilitirit,14811721,1
runarb,15384262,1
mglidden11,15384262,1
tarr11,13831277,1
ggm,15417019,1
sanifsdd,13658615,1
KKKKkkkk1,16022916,1
dchichkov,14344034,1
diedyesterday,15155833,1
profshoelace,13399095,1
codnee,14023198,1
dep_b,15857833,1
rrix2,13716511,1
mbonzo,14750627,1
HugoDaniel,14744783,1
princeb,15927132,1
dkrich,14059727,1
tonyhb,15092707,1
jhgjklj,15624677,1
tjnicolaides,14238005,1
SadWebDeveloper,13810015,1
ganfortran,13747414,1
vinchuco,14960597,1
lukaszkups,13682949,1
drewjaja,13682949,1
cQ5ktKqTvOPZ,13810015,1
tr32q423,13718752,1
SFJulie,13713953,1
rustoo,14473377,1
palidanx,13576236,1
marcosdumay,13576236,1
migoden,13668916,1
partycoder,15990559,1
parmesan,15694926,1
1propionyl,13941923,1
avenoir,15900551,1
Fiahil,13804522,1
tlrobinson,13966241,1
kumarski,13591561,1
beeswax,13584097,1
krylon,14644539,1
t3po7re5,14256300,1
nodamage,13433927,1
lyime,15384262,1
lisasburke1,15384262,1
jamisteven,14600873,1
bitwize,14505378,1
olegkikin,15485672,1
pwdisswordfish2,15800676,1
plaidfuji,14790251,1
swsieber,15321850,1
zephyrfalcon,14245354,1
jschwartz11,14238005,1
sadadar,15824597,1
coloneltcb,15342486,1
lwlml,14448404,1
anechoe,15853374,1
lngnmn,14068280,1
MistahKoala,14931004,1
knownothing,14671070,1
Jason_Status_IM,15824597,1
tzahola,15675582,1
tomerbd,15675582,1
ElijahLynn,15342486,1
mulla111,13459740,1
jacquesm,14031452,1
Lazlo_Nibble,15451442,1
peteforde,13309610,1
dredmorbius,14639908,1
BertPhoo,14320392,1
notadoc,14320392,1
nether,14600873,1
merraksh,14418877,1
JepZ,14417758,1
macawfish,14136081,1
cobookman,13607359,1
banned1,15156291,1
rurounijones,15021427,1
bkbridge,13537052,1
squizzel,13551610,1
seekinglegal,14674460,1
alexilliamson,15756062,1
georgeburdell,14784900,1
truth_speaker,14489964,1
sireetorn,14023198,1
meri_dian,15969511,1
quotemstr,14411126,1
elihu,15407761,1
gsylvie,14711153,1
starchild_3001,15969511,1
RUG3Y,13421927,1
rajivm,15601729,1
riebschlager,15601729,1
pcsanwald,15862494,1
collinmanderson,15744359,1
freedomben,15853374,1
bsg75,15940318,1
creaghpatr,15232147,1
oliv__,15230871,1
dallamaneni,13921433,1
abrowne,14529376,1
cubistml,15384262,1
milesf,15904265,1
sahn44,15148885,1
idlewords,15714318,1
evanslify,15947540,1
geekamongus,15947540,1
blaisio,15949144,1
lucb1e,14196731,1
xtiansimon,15155833,1
ilovetux,13816627,1
s3nnyy,15148885,1
TomAnthony,13317902,1
fiatjaf,13966241,1
CSDude,15808096,1
cameronkay,14023198,1
twblalock,14031619,1
lowercase_,14783279,1
AdmiralAsshat,15417019,1
lightedman,15417019,1
marak830,15417019,1
mayop100,14356409,1
senthilnayagam,13392620,1
justicezyx,13392620,1
git-pull,13918465,1
tn13,13365430,1
Hotjar_Rec,14238005,1
gamerDude,14238005,1
czep,15147660,1
blauditore,13817969,1
macca321,13817883,1
pducks32,15073414,1
genon,15031922,1
gthtjtkt,15031922,1
beatpanda,14338328,1
dmix,13503067,1
binthere,15142853,1
chasemp,14023198,1
helpfulanon,13629593,1
mSparks43,14356409,1
gigatexal,14568468,1
gremlinsinc,14754772,1
rkrzr,13301832,1
fuzzieozzie,13301832,1
tehwalrus,13301832,1
gheijfnfd,13647190,1
rbanffy,15485672,1
bitcoin2017,15883186,1
thecombjelly,15754287,1
varunjuice,15824597,1
HugoDaniel,15050841,1
roomey,13442022,1
adavidoaiei,15790687,1
ridiculous_fish,13437905,1
dpratt,14518542,1
overcast,13804522,1
elorant,13765240,1
_pmf_,15782014,1
chmod775,14471931,1
kelvin0,13886626,1
rnikander,15821575,1
pgroves,13576236,1
sgt101,13810764,1
pm215,15747313,1
9erdelta,13375543,1
holografix,14656945,1
dirkg,13981184,1
thrillgore,14304088,1
facepalm,13414570,1
conradev,13649523,1
singularity2001,15821575,1
exabrial,14308754,1
drsopp,13837781,1
ctulek,13392885,1
brilliantcode,13804522,1
corford,15222240,1
tarikozket,14417758,1
sabalaba,15601729,1
oculusthrift,14068280,1
sandGorgon,13319904,1
hesarenu,13940014,1
jlebrech,13941923,1
bastih,14688684,1
notdonspaulding,14468471,1
lxchase,15651058,1
sccxy,15890551,1
BoorishBears,14552615,1
jtchang,13718752,1
nickcw,13846083,1
shadowmint,14087381,1
hganesan,14688684,1
nickelbackfan,14852270,1
burnout1540,14688684,1
aeontech,15756684,1
achou,14350059,1
tambourine_man,14384187,1
matmo,15924794,1
alex_duf,15337730,1
gnu8,15691435,1
popey,14649727,1
aratno,13716511,1
metahost,15448996,1
thinkMOAR,15448996,1
j45,14703098,1
valarauca1,15050841,1
Eridrus,15050841,1
bogomipz,13439828,1
swamp40,15342486,1
differentView,14505073,1
T3RMINATED,14600873,1
always_good,14766889,1
wu-ikkyu,15630646,1
charlesdm,15630646,1
Tohan,15974603,1
exabrial,15878197,1
CombinatorWhy,14330547,1
flexie,14495405,1
WalterBright,14495405,1
Dangeranger,13600427,1
backpropaganda,14182262,1
sireetorn,14688684,1
mallipeddi,13644959,1
greggeter,15342486,1
tehlike,14523523,1
grandalf,14051851,1
travelton,13716511,1
peterwwillis,15357584,1
automathematics,14087381,1
ayuvar,13977982,1
adpoe,13326535,1
AndrewStephens,13326792,1
pbhjpbhj,13721452,1
orbitingpluto,14960597,1
ChuckMcM,13785564,1
erjjones,13785564,1
zoa,15148885,1
data4science,13629728,1
projektir,13642662,1
etimberg,13642662,1
toephu2,13747414,1
plesiv,14476421,1
scarface74,14476421,1
tasuki,14688684,1
morpheism,14688684,1
Raphomet,14688684,1
YeGoblynQueenne,14952787,1
betadreamer,15237896,1
gamedna,14859740,1
elberto34,13890618,1
stevekemp,14578807,1
hitlin37,14578807,1
fivestar,14495405,1
jondubois,13696004,1
aetherson,14054785,1
gregcohn,14688684,1
crooked-v,13644959,1
robertwalsh0,15924093,1
everhardt,13541679,1
NGTmeaty,13622301,1
sjcsjc,14772926,1
zyanyatech,14774167,1
0xFFC,14776357,1
yegg,15148885,1
jack7890,15148885,1
devinus,15148885,1
shiftb,15148885,1
idrism,15384262,1
aljosa,14002821,1
overcast,13684439,1
stefanoco,15148885,1
joeblau,14087381,1
tardygrad,15808124,1
24gttghh,14394150,1
matchagaucho,15862494,1
pasbesoin,15156291,1
bighi,14309194,1
pascalxus,15331016,1
ramgp,15246197,1
zackbloom,13909365,1
viach,13529213,1
theprop,14223020,1
Steeeve,13858597,1
Animats,13857887,1
jandrese,14002821,1
eveningcoffee,13909365,1
geuis,13857887,1
capocannoniere,13858597,1
unit91,13940412,1
sergiotapia,15806500,1
shmerl,15500220,1
ojbyrne,15275182,1
adambmedia,15275182,1
bexelbie,14170041,1
classybull,14422605,1
firefoxd,15780530,1
flukus,15041986,1
burnout1540,15148885,1
cmer,13837850,1
sharemywin,13529213,1
Celarnor,15461439,1
emilfihlman,14643712,1
bussiere,14612680,1
keechongtan,15824597,1
galori,15824597,1
mdb333,14059727,1
FunnyLookinHat,14011793,1
amitt,13392885,1
troycroz,14238005,1
miguelrochefort,15230871,1
iRobbery,15714920,1
zwischenzug,13741746,1
minimaxir,13742102,1
droithomme,13629593,1
Mikeb85,13629593,1
bmc7505,13629593,1
CGamesPlay,13471543,1
Nirvanachan,13471543,1
IAmGraydon,13989215,1
balp,15689399,1
ajohnclark,14029572,1
mrskeltal,13354329,1
westernmostcoy,13775667,1
seanwilson,13775667,1
kiliankoe,13529213,1
kotrunga,15924794,1
md224,15994410,1
zebraflask,14673777,1
rdudekul,14788354,1
soneca,14505073,1
rexicus,14703661,1
mnarayan01,14959288,1
wtvanhest,14463260,1
ehin345,13541679,1
auggierose,14155393,1
sergiotapia,14308189,1
jstejada,13529213,1
getdatpapersong,14656945,1
dcgudeman,15384262,1
gbersac,14483409,1
asimjalis,13837781,1
pfortuny,13837781,1
wruza,13837781,1
drchiu,13837781,1
impendia,14161876,1
realdlee,14023198,1
mychael,14754772,1
stavrospap,15601729,1
evtothedev,15384262,1
trialanderror,14090419,1
lacampbell,14087002,1
zepto,14090419,1
nailer,15904265,1
perseusprime11,15228712,1
Aissen,13338592,1
_Codemonkeyism,15931730,1
spooterspooter,13684439,1
knolan,15297912,1
CaptSpify,13503067,1
ar813,15511285,1
bigtunacan,15200221,1
Accacin,15200221,1
hikarudo,14486657,1
brightball,14486657,1
jamesmiller5,15424478,1
salqadri,15466599,1
otto_ortega,15133919,1
hatsunearu,13718752,1
steego,13471543,1
adamb,14552615,1
WalterBright,14136081,1
Svip,13509509,1
samtho,13326535,1
rkunnamp,14757687,1
iloveluce,15368353,1
icc97,14049868,1
_Codemonkeyism,15940144,1
jonahx,14149570,1
AJ007,15274339,1
shanavasm,14531578,1
ericfrederich,15008636,1
Tharkun,15037960,1
grizzles,13610146,1
amykobi,13541679,1
charmee,15148885,1
flanbiscuit,13421298,1
notpc,13421298,1
temp-dude-87844,13421298,1
_e,15927132,1
peterkshultz,14651287,1
interfixus,14063609,1
juanplusjuan,14238005,1
calimac,14545382,1
cratermoon,14892980,1
PeterStuer,14892980,1
Kiro,13982620,1
3chelon,13816627,1
gmermoud,13301832,1
daenz,14073223,1
Khay1024,14023198,1
oblib,14219384,1
erdle,15453974,1
keeptrying,14338328,1
oldmancoyote,14338411,1
huntie,14823807,1
ccheever,14949978,1
jancsika,14966002,1
saycheese,15389727,1
andreasklinger,14146850,1
kasrak,15824597,1
gred,13507993,1
grillisalaatti,13406638,1
kofejnik,13326535,1
ddmma,15752022,1
orless,15892066,1
ngrilly,15892066,1
wslh,15165111,1
tabeth,13958366,1
gilbetron,15502074,1
anonu,15168394,1
ge96,15195510,1
foota,13456246,1
chadwittman,13541679,1
dopeboy,15122540,1
jessaustin,14921018,1
shosko,15037960,1
vinceguidry,16022916,1
mvonthron,13301832,1
sshumaker,13301832,1
p1k,14516538,1
jeeshan,14516538,1
maymay,14918911,1
jlebar,14817557,1
mrguyorama,15451442,1
Sir_Cmpwn,14462785,1
beedogs,15790687,1
rebornix,13755673,1
jchien17,14600873,1
TheRealmccoy,14600873,1
curiousDog,14600873,1
danso,14600873,1
dsiegel2275,15254952,1
subirm,15909395,1
matthewhall,13896065,1
EngineerBetter,14297289,1
vmasto,14109158,1
eridius,15318440,1
samirparikh,13909656,1
ris,13508038,1
forthefuture,14643712,1
curiousDog,13520891,1
danharaj,13810764,1
vgt,14469645,1
EGreg,15965653,1
jnaulty,13541679,1
koolba,13755673,1
a9a,15644680,1
ambroselittle,13816627,1
rrm1977,14338328,1
propman,14136081,1
davidcollantes,14292396,1
hannob,14731181,1
zitterbewegung,14401399,1
woliveirajr,13837850,1
johnlbevan2,13837850,1
billytetrud,14238005,1
rado,15058351,1
late2part,15601729,1
Multicomp,15230871,1
pow_pp_-1_v,15230871,1
chris_wot,15116719,1
Animats,13924546,1
rurabe,14310617,1
altano,14310617,1
rossant,15148885,1
thanatropism,14966002,1
dageshi,14403036,1
haywirez,13656192,1
imaassman,15439967,1
artur_makly,15133919,1
4684499,15965653,1
stiff,13752887,1
DoubleGlazing,13752887,1
femboner,14673777,1
ChuckMcM,14673777,1
agentgt,13356318,1
Shalen,14023198,1
Nition,13385873,1
infomofo,14023198,1
dispatchai,14023198,1
gourou,13389935,1
elmigranto,13989215,1
rodrigosetti,14731181,1
_jomo,13423629,1
lukaszkups,13426896,1
sdpcrowe,14688684,1
edwinyzh,15772065,1
cmelone,13785564,1
personjerry,14995165,1
smokescreentech,14238005,1
doggydogs94,15762451,1
AdamJacobMuller,14226775,1
gaius,13747414,1
simoes,13301832,1
teilo,15951825,1
falcolas,15951825,1
l33tbro,14976028,1
abraves10001,13989215,1
chrisabrams,13746830,1
cygned,13635230,1
cmurf,15747519,1
thebeardedone,15886333,1
matt_wulfeck,13688595,1
leksak,15281455,1
jandrewrogers,13576236,1
smokeyj,14103091,1
vedses,15601729,1
tonydiv,15601729,1
chmaynard,13672482,1
ishtu,14297289,1
squidlogic,14275805,1
dangayle,15195510,1
zhuzhu,14529376,1
noblethrasher,13329525,1
hasenj,14269590,1
zufallsheld,13989215,1
r1b,15931730,1
fakalaka,14023198,1
thinkmorebetter,14023198,1
kul_,14403036,1
probinso,14087002,1
Upvoter33,13853150,1
adultSwim,14155393,1
whack,13672482,1
qaq,14930895,1
ohyes,13747414,1
DanielBMarkham,13867590,1
wvh,15234207,1
iiv,14919845,1
coloneltcb,14673777,1
enos_feedler,15432720,1
sebringj,14108849,1
eastern,15744359,1
chris1993,13326535,1
erikb,14847059,1
madshiva,15439967,1
savvyraccoon,13347852,1
nvr219,15986753,1
ryandrake,14087381,1
jscholes,14087381,1
discombobulate,14505073,1
jeshwanth,14529376,1
