anime_id,title,alpha,omega,zeta
33462,Bernard-jou Iwaku.,158,121,69
1586,Aoi Umi no Tristia,143,200,140
20057,Space☆Dandy,194,123,205
30347,Nanatsu no Taizai OVA,15,82,126
18893,Aoki Hagane no Arpeggio: Ars Nova,149,59,169
35334,ClassicaLoid 2nd Season,138,164,89
36755,Juvenile Pornography The Animation,14,15,116
2199,Chirin no Suzu,10,196,213
34561,Re:Creators,183,4,205
238,Rekka no Honoo,188,189,138
27989,Hibike! Euphonium,195,157,55
36838,Gintama.: Shirogane no Tamashii-hen,136,157,29
1200,Gun-dou Musashi,82,15,178
24031,Denki-gai no Honya-san,200,133,82
3975,Uchi no 3 Shimai,146,61,176
10935,Hourou Musuko Specials,49,213,42
22273,Selector Infected WIXOSS,80,109,157
11769,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,129,167,133
10250,Ultra B,146,61,176
15771,Saint☆Oniisan (Movie),200,133,169
8986,Supernatural The Animation,221,113,103
3675,Andromeda Stories,109,15,207
33337,ACCA: 13-ku Kansatsu-ka,1,47,157
34350,Alice to Zouroku,183,4,4
36982,Micchiri Neko,138,164,89
534,Slayers,67,175,126
32032,Seikaisuru Kado,183,4,169
30694,Dragon Ball Super,134,82,135
14355,Yama no Susume,189,133,109
11827,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,154,137,68
35240,Princess Principal,183,4,157
10197,Nyanpire The Animation,77,137,179
15279,Kira Kira 5th Anniversary Live Anime: Kick Start Generation,91,137,188
1587,Tenpou Ibun: Ayakashi Ayashi,187,178,178
10588,Persona 4 the Animation,196,10,126
6922,Fate/stay night Movie: Unlimited Blade Works,90,18,104
15211,Nazotoki-hime wa Meitantei♥,157,195,195
6702,Fairy Tail,197,24,29
34975,Marvel Future Avengers,47,219,219
19841,Super Seisyun Brothers,178,187,192
24641,Baku Ane: Otouto Shibocchau zo! The Animation,154,137,68
24021,Sei Shoujo The Animation,163,137,89
5199,Seto no Hanayome Fan Disc,119,175,49
22225,Momo Kyun Sword,158,121,167
33274,Onara Gorou,201,196,137
146,Kono Minikuku mo Utsukushii Sekai,170,209,113
21267,Go! Go! 575,129,167,133
221,Mezzo Forte,173,175,130
1483,Master Keaton,167,117,131
32518,Shoujo kara Shoujo e...,102,137,116
1640,Angel&#039;s Feather,151,68,1
35314,"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",117,167,49
7082,Shugo Chara! Party!,160,149,209
35952,Devilman Memorial,126,219,15
10521,Working&#039;!!,1,47,29
3335,Haikara-san ga Tooru,109,15,49
594,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,86,180,189
2520,Dragon Ball Specials,20,144,80
4130,Petit Eva: Evangelion@School,103,164,214
27727,Binan Koukou Chikyuu Boueibu LOVE!,218,207,100
2617,Ghiblies,156,164,149
33094,WWW.Working!!,1,47,157
209,R.O.D the TV,89,57,108
33358,Mahou no Star Magical Emi: Finale! Finale!,146,61,195
30721,Hacka Doll The Animation,189,133,116
28369,Dr. Slump: Arale-chan Specials,47,219,68
9509,Yami no Purple Eye,169,219,207
3844,Apache Yakyuugun,64,61,48
31699,Good Morning!!! Doronjo,126,219,184
7593,Kiss x Sis (TV),71,47,135
7411,Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,154,137,42
30450,Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,47,219,68
35139,Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,126,219,184
1388,Yakin Byoutou Ni,115,15,175
22,Tennis no Ouji-sama,8,82,157
1016,Gunnm,173,175,108
2051,Akai Kiba: Blue Sonnet,124,15,196
7155,Beat Shot!!,126,219,1
34943,T7S Longing for Summer Again and Again: Harukaze,169,219,137
34430,Detective Conan Movie 21: The Crimson Love Letter,92,170,173
31972,Tang Lang Bu Chan,126,219,15
26349,Danna ga Nani wo Itteiru ka Wakaranai Ken,200,133,157
2762,Igano Kabamaru,133,149,213
32792,Mobile Suit Gundam Unicorn RE:0096,209,25,91
15809,Hataraku Maou-sama!,139,55,29
3627,D.C.II S.S.: Da Capo II Second Season,2,111,82
33126,Kurogane no Linebarrels Picture Drama,126,219,184
2205,Bakuretsu Tenshi: Infinity,89,57,92
17535,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,75,4,4
1151,Dominion,173,175,213
2025,Darker than Black: Kuro no Keiyakusha,171,41,29
15125,Teekyuu,180,86,193
7193,Aoi Bungaku Series,219,47,97
13585,Natsuyuki Rendezvous,184,4,169
1969,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,53,213,35
3813,Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,169,219,184
8518,Mai-Otome Special: Otome no Inori,119,175,175
808,Bakuretsu Hunters OVA,143,200,175
6890,Ontama!,103,164,188
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),197,24,185
37150,Douluo Dalu,193,15,207
4250,Kore ga UFO da! Soratobu Enban,82,15,178
9074,Arakawa Under the Bridge x Bridge,194,123,97
1379,Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,219,47,123
15819,Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,109,15,178
25441,Shin Strange+ Special,91,137,178
2476,School Days,207,111,73
19871,Gaist Crusher,91,137,178
18,Initial D Fourth Stage,44,169,191
5060,Hetalia Axis Powers,40,192,126
5322,Mugen Kouro,124,15,49
546,Wind: A Breath of Heart (TV),170,209,209
33915,Kitty-chan wo Sagase! Toyama-shi Stamp Rally,104,142,125
10244,Ultra B: Black Hole kara no Dokusaisha BB!!,41,142,95
34644,Brave Witches: Petersburg Daisenryaku,57,89,188
6653,Ginga Tetsudou 999: Glass no Clair,10,196,49
2618,Takarajima,133,149,35
35982,Gundam Build Fighters: GM no Gyakushuu,162,68,68
1921,Urusei Yatsura Movie 2: Beautiful Dreamer,59,149,149
31599,Kaette Kite yoo Toyama kara,206,142,95
9754,Kuragehime: Eiyuu Retsuden☆,77,137,162
29830,Tamayura: Sotsugyou Shashin Part 3 - Akogare,144,20,128
459,One Piece Movie 1,203,82,126
790,Ergo Proxy,150,41,97
31486,Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,148,207,89
4918,xxxHOLiC Shunmuki,176,47,123
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,150,41,97
1149,Choujuushin Gravion Zwei,187,178,49
3747,Inyouchuu The Animation,163,137,175
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,142,185,29
14837,Dragon Ball Z Movie 14: Kami to Kami,134,82,157
5041,Guin Saga,89,57,33
6707,Kuroshitsuji II,168,82,123
37320,Amai Choubatsu: Watashi wa Kanshu Senyou Pet,91,137,207
236,E&#039;s Otherwise,143,200,49
34438,Code Geass: Hangyaku no Lelouch I - Koudou,69,68,129
1488,Area 88,147,213,149
34818,Sakura Internet,91,137,200
9515,Highschool of the Dead: Drifters of the Dead,172,133,157
24873,Juuou Mujin no Fafnir,118,147,147
5984,Ristorante Paradiso,49,213,108
7435,Dragon Quest: Dai no Daibouken (1991),81,15,49
12191,Smile Precure!,56,137,89
33018,Katsugeki/Touken Ranbu,218,207,82
11061,Hunter x Hunter (2011),78,55,29
23623,Non Non Biyori Repeat,195,157,55
4537,Yagami-kun no Katei no Jijou,82,15,49
32983,Natsume Yuujinchou Go,107,41,29
32122,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,136,157,126
33028,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,196,10,135
64,Rozen Maiden,153,155,126
5682,Phantom: Requiem for the Phantom,219,47,29
382,Futari Ecchi,186,175,175
13373,Kyoto Animation: Hana-hen,77,137,170
821,Initial D Battle Stage,202,84,156
7176,Cheburashka Arere?,156,164,178
1726,Devil May Cry,89,57,126
8277,Hyakka Ryouran: Samurai Girls,131,106,49
21681,Hanayamata,166,52,169
36793,3D Kanojo: Real Girl,214,99,124
28211,Harmony,149,59,109
254,Jungle wa Itsumo Hare nochi Guu Deluxe,49,213,42
8062,Mai-HiME: Kuro no Mai/Saigo no Bansan,119,175,175
37104,Slow Start: Web Yokoku Movie,169,219,178
865,Kikou Senki Dragonar,10,196,49
19363,Gin no Saji 2nd Season,216,41,29
35249,Uma Musume: Pretty Derby (TV),57,89,89
799,Kokoro Toshokan,103,164,175
560,Soukyuu no Fafner: Right of Left - Single Program,209,25,155
30952,New Initial D Movie: Legend 3 - Mugen,209,25,25
1124,Seikai no Danshou: Tanjou,173,175,132
2171,Detective Conan Movie 11: Jolly Roger in the Deep Azure,8,82,169
6337,Hitoriga The Animation,163,137,200
34498,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",214,99,25
1837,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,192,196,196
8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,161,4,55
4124,Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,56,137,89
1562,Yamato Nadeshiko Shichihenge♥,40,192,126
880,Aa! Megami-sama!: Sorezore no Tsubasa,100,111,47
35889,Hakata Tonkotsu Ramens,183,4,169
1469,Monster Farm: Enbanseki no Himitsu,0,144,89
2155,Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,170,209,209
3429,Blame! Special,89,57,130
7639,Shounen Santa no Daibouken!,55,142,95
22831,Abarenbou Rikishi!! Matsutarou,187,178,196
19391,Shingeki no Kyojin Picture Drama,178,187,10
4554,Dokkiri Doctor,169,219,49
31747,Oshiri Kajiri Mushi (TV) 4th Season,126,219,184
5162,Minami-ke Okaeri,68,122,126
3737,Usavich,156,164,213
2281,Jikuu Tantei Genshi-kun,187,178,178
19255,Hyakka Ryouran: Samurai Bride Specials,117,167,49
36520,Pikotarou no Lullaby Lullaby,91,137,207
2264,Jungle Taitei Movie (1997),133,149,178
8241,Rio: Rainbow Gate!,170,209,133
1925,Urusei Yatsura Movie 6: Itsudatte My Darling,59,149,178
10384,Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,163,137,188
14995,JK to Ero Giin Sensei,145,15,89
5163,Code Geass: Hangyaku no Lelouch R2 Picture Drama,116,148,169
23837,Meisou! Underworld,91,137,94
32380,Kono Subarashii Sekai ni Shukufuku wo! OVA,1,47,24
9806,Qin Shi Ming Yue: Bai Bu Fei Jian,123,61,207
12695,Tight-rope,45,166,100
1744,Wagamama☆Fairy Mirumo de Pon!,160,149,89
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,183,4,105
30144,Nyuru Nyuru!! Kakusen-kun 2nd Season,146,61,95
835,Sister Princess: Re Pure,25,196,167
831,Chicchana Yukitsukai Sugar,160,149,110
1609,Mai-Otome Zwei,153,155,165
1910,Master Keaton OVA,167,117,213
6172,Layton Kyouju to Eien no Utahime,49,213,124
11569,Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,148,207,49
20125,Tobidase! Machine Hiryuu,97,142,95
2463,Shounan Bakusouzoku,126,219,196
1450,Brigadoon: Marin to Melan,10,196,214
13807,Corpse Party: Missing Footage,213,147,147
9999,One Piece 3D: Mugiwara Chase,101,148,169
34037,Kitakaze no Kureta Table-kake,205,95,95
13165,Paboo & Mojies,146,61,195
1122,Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,114,201,82
2224,Hikari no Densetsu,133,149,178
26023,Haiyore! Nyaruko-san F,178,187,109
3464,Kemeko Deluxe!,170,209,175
8132,Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors,17,15,49
33183,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,148,207,89
4050,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,109,15,49
798,Yomigaeru Sora: Rescue Wings,173,175,155
11793,"Tamayura: Hitotose - Attakai Kaze no Omoide, Nanode",144,20,193
16035,Karneval (TV),168,82,169
26085,Military!,158,121,133
37115,Taka no Tsume 7: Joou Heika no Jobuubu,83,61,95
15611,Cardfight!! Vanguard: Link Joker-hen,122,68,207
780,Detective Conan Movie 02: The Fourteenth Target,8,82,169
25567,DRAMAtical Murder OVA: Data_xx_Transitory,84,209,137
12445,Tasogare Otome x Amnesia,161,4,29
35473,Yuuki Yuuna wa Yuushabu Shozoku 3,91,137,89
35370,Teekyuu 9,180,86,89
28913,Hidamari Sketch x 365 Recap,193,15,178
242,Gokusen,188,189,91
1454,Kemonozume,70,169,157
10905,Ikoku Meiro no Croisée Picture Drama,103,164,188
23831,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,77,137,89
1686,Bleach Movie 1: Memories of Nobody,75,4,135
33743,Fuuka,118,147,4
9834,Level E,219,47,123
33769,Imouto to Sono Yuujin ga Ero Sugite Ore no Kokan ga Yabai,102,137,116
34323,Hi☆sCoool! SeHa Girls Special,126,219,184
36519,Koikishi Purely☆Kiss The Animation: Special Edition,169,219,49
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,209,25,157
6336,Mobile Suit Gundam Unicorn,106,193,105
11465,Tsuma no Haha Sayuri,145,15,116
33820,Ao Oni The Animation (Movie),165,137,200
19383,Yami Shibai,200,133,122
33985,Bloodivores,42,121,49
139,Hunter x Hunter: Greed Island Final,61,174,135
16009,Kamisama no Inai Nichiyoubi,161,4,146
12471,Eureka Seven AO,149,59,33
3448,Mad★Bull 34,201,196,175
956,Daikuu Maryuu Gaiking,4,184,49
1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,8,82,169
4536,Muteki Robo Trider G7,4,184,1
34595,"""Parade"" de Satie",104,142,125
7655,Major S6,36,157,19
877,Nana,216,41,29
32083,Luck & Logic,42,121,49
370,Burn Up Excess,192,196,178
1429,Lupin III: Nusumareta Lupin,187,178,178
35478,Neko no Robu,206,142,95
32625,Okusama ga Seitokaichou! OVA: Okusama Gekijou,117,167,49
399,Seikai no Senki Special,186,175,213
1774,HeatGuy J Special,10,196,178
3889,Junk Boy,52,15,178
1161,Maze☆Bakunetsu Jikuu (TV),192,196,140
10923,Tantei Opera Milky Holmes: Summer Special,210,31,31
28237,MapleStory Special,157,195,195
2559,Romeo no Aoi Sora,167,117,169
2722,Crusher Joe,63,164,213
33255,Saiki Kusuo no Ψ-nan (TV),142,185,29
21395,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,179,137,207
32275,Nar Doma Special,104,142,95
28927,Owari no Seraph: Nagoya Kessen-hen,183,4,29
17249,Pretty Rhythm: Rainbow Live,148,207,89
6954,Kara no Kyoukai 8: Shuushou,207,111,123
5909,Seitokai no Ichizon,125,157,157
34612,Saiki Kusuo no Ψ-nan (TV) 2,15,82,146
1565,Pokemon Diamond & Pearl,114,201,82
8407,Sora no Otoshimono: Forte,161,4,123
36825,Pokemon Diamond & Pearl: Clip Show,91,137,207
2164,Dennou Coil,150,41,97
646,Haunted Junction,10,196,178
1216,Boku wa Konomama Kaeranai,151,68,68
3091,xxxHOLiC Kei,176,47,97
1846,Princess Nine: Kisaragi Joshikou Yakyuubu,160,149,175
11763,Sekai de Ichiban Tsuyoku Naritai!,141,159,133
1026,Yakumo Tatsu,10,196,178
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,150,41,97
33914,Nineko Gelée,157,195,125
6112,Shin Koihime†Musou,13,167,133
33286,Strike the Blood II,214,99,10
29829,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,144,20,42
25963,Backkom Meogeujan Yeohaeng,47,219,184
2985,Majin Tantei Nougami Neuro,89,57,82
5678,Kobato.,137,179,135
4061,Grimm Masterpiece Theater II,133,149,178
34392,One Room,158,121,89
17211,Shouwa Ahozoushi Akanuke Ichiban!,146,61,48
13261,Inazuma Eleven Go: Chrono Stone,132,68,207
25265,Megumi to Taiyou: Kajuu Gummi Tweet Love Story,169,219,49
6582,Tentai Senshi Sunred 2nd Season,49,213,213
510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,37,15,49
6149,Chibi Maruko-chan (1995),109,15,49
16894,Kuroko no Basket 2nd Season,112,55,29
709,Mujin Wakusei Survive,49,213,117
2488,Mei to Koneko Bus,49,213,162
219,Kidou Senkan Nadesico: The Prince of Darkness,173,175,175
16890,Makai Ouji: Devils and Realist,168,82,147
193,Maburaho,131,106,113
34939,Tales of the Rays,162,68,89
33310,Peach Command Shin Momotarou Densetsu,41,142,95
2004,Hanada Shounen-shi,167,117,35
33687,Cyborg 009: Call of Justice 3,187,178,166
4879,Mouryou no Hako,49,213,169
13937,Saishuu Chikan Densha Next,145,15,116
35417,Sin: Nanatsu no Taizai Zange-roku,91,137,116
1085,Interlude,89,57,38
35330,Poputepipikku,195,157,47
10278,The iDOLM@STER,166,52,123
37031,Mahoutsukai no Yome Recap,162,68,89
35589,Toji no Miko,158,121,133
282,Angel Heart,173,175,178
1644,Princess Rouge,124,15,49
3738,Usavich II,156,164,213
19569,Junjou Shoujo Et Cetera,145,15,49
12059,Otome Dori,79,184,68
31617,Ghost in the Shell: The New Movie Virtual Reality Diver,169,219,49
2616,Sora Iro no Tane,156,164,149
31797,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken Specials",117,167,49
34799,PriPri Chii-chan!!,91,137,188
7782,Kämpfer Picture Drama,103,164,209
8917,Mouretsu Pirates,35,167,82
1622,Kai Doh Maru,89,57,92
32189,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,196,10,105
33086,Uchuu Neko: Mardock no Bouken,24,95,125
28669,Go! Princess Precure,56,137,188
166,Samurai 7,89,57,33
35118,Bleach Colorful!: Gotei Juusan Yatai Daisakusen!,162,68,166
20031,D-Frag!,1,47,24
295,Divergence Eve 2: Misaki Chronicles,37,15,92
2146,Canary,124,15,49
2334,Anime Sanjuushi: Aramis no Bouken,109,15,178
24793,Bloody Bunny,157,195,125
23725,Strike Witches: Operation Victory Arrow,94,133,111
12879,Dantalian no Shoka: Ibarahime,178,187,109
16201,Aku no Hana,70,169,157
30411,Happy Jozy,199,95,125
28891,Haikyuu!! Second Season,78,55,29
28247,Pankis! 2-jigen,126,219,184
37277,Beatless Intermission,91,137,200
35002,Aware! Meisaku-kun: Meiji Saite Oishii Mozzarella,199,95,95
35677,Liz to Aoi Tori,169,219,184
10302,Pokemon Diamond & Pearl Specials,27,207,173
836,Sister Princess,25,196,175
3457,Vampire Knight,168,82,185
10532,Working&#039;!! Announcement Specials,178,187,179
9857,Bakusou Kyoudai Let&#039;s & Go Special,81,15,49
12979,Naruto SD: Rock Lee no Seishun Full-Power Ninden,0,144,173
18677,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,118,147,49
34785,Tamashichi!,191,65,125
5233,Slayers Evolution-R,11,155,91
1769,Oh! Super Milk-chan,124,15,49
24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,209,25,124
1012,Sexy Commando Gaiden: Sugoiyo!! Masaru-san Specials,10,196,178
5023,Ninpuu Kamui Gaiden,82,15,15
50,Aa! Megami-sama! (TV),100,111,47
3251,Hatara Kids Mai Ham Gumi,18,61,195
17,Hungry Heart: Wild Striker,69,68,124
22417,Quantum Leap,126,219,68
32557,Zombie Clay Animation: I&#039;m Stuck!!,18,61,195
35078,Mitsuboshi Colors,189,133,123
1416,Lupin III: Dead or Alive,187,178,175
9981,Phi Brain: Kami no Puzzle,149,59,82
1691,Kaze no Stigma,137,179,157
36309,Butlers: Chitose Momotose Monogatari,165,137,178
523,Tonari no Totoro,48,41,29
30851,Q Transformers: Saranaru Ninki Mono e no Michi,169,219,68
6641,Tonari no 801-chan R,156,164,178
37140,Gegege no Kitarou (2018),162,68,188
1942,Rocket Girls,143,200,86
125,Futakoi,170,209,113
31426,Urawa no Usagi-chan Special,91,137,200
4196,Ikkitousen: Great Guardians,54,15,49
9810,Nyani ga Nyandaa Nyandaa Kamen,169,219,178
34198,Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose♪ Tepple to Dokidoki Cocotama-kai,198,61,195
18743,Money Wars: Nerawareta Waterfront Keikaku,60,95,95
1913,Shonan Junai Gumi!,202,84,33
1142,Hachimitsu to Clover II,216,41,97
16738,Wooser no Sono Higurashi: Ken to Pants to Wooser to,113,164,89
8799,Okawari-Boy Starzan-S,157,195,125
1884,Himesama Goyoujin,124,15,196
31338,Hundred,118,147,70
23755,Nanatsu no Taizai,112,55,29
24,School Rumble,125,157,97
813,Dragon Ball Z,61,174,29
3031,Digimon Frontier: Ornismon Fukkatsu!!,0,144,173
6802,So Ra No Wo To,166,52,157
3906,H. P. Lovecraft&#039;s The Dunwich Horror and Other Stories,82,15,49
36636,Ankoku Cat VS,157,195,125
23985,Futari Ecchi (2014),52,15,116
8302,Ladies versus Butlers! Specials,129,167,49
24833,Ansatsu Kyoushitsu,112,55,29
10719,Boku wa Tomodachi ga Sukunai,161,4,55
11795,Forsaken,91,137,178
7265,Kara no Shoujo,163,137,89
33566,Baki,91,137,166
5153,Kikou Kai Galient,82,15,178
33164,Musaigen no Phantom World: Limitless Phantom World,117,167,188
21437,Buddy Complex,149,59,82
30191,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,175,119,169
1028,Arete Hime,49,213,117
14817,Mouretsu Pirates: Abyss of Hyperspace,129,167,133
9260,Kizumonogatari I: Tekketsu-hen,21,55,55
7152,Anyamal Tantei Kiruminzoo,103,164,188
770,Pale Cocoon,219,47,18
1222,Bokura ga Ita,207,111,123
8934,Star Driver: Kagayaki no Takuto,149,59,82
14989,Chousoku Henkei Gyrozetter,122,68,49
19961,Heisei Tensai Bakabon,157,195,184
27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,28,4,126
33480,Waku Waku Koma-chan,19,142,125
2075,Kiko-chan Smile,126,219,178
6312,Taiho Shichau zo: Full Throttle Special,143,200,175
21473,Persona 3 the Movie 2: Midsummer Knight&#039;s Dream,196,10,126
1088,Macross,106,193,126
36611,Bary-san no Shokoku Manyuuki,104,142,95
90,Mobile Suit Gundam Wing,164,138,47
9014,Kuttsukiboshi,129,167,133
20555,SoniAni: Super Sonico The Animation,35,167,133
25687,Digimon Adventure tri. 1: Saikai,98,186,169
1404,Flutter of Birds: Tori-tachi no Habataki,108,15,49
998,Blue Seed,67,175,140
27821,Fate/stay night: Unlimited Blade Works - Prologue,152,41,29
34129,Xia Lan,24,95,125
7062,Hidamari Sketch x ☆☆☆,43,169,157
33378,"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",169,219,184
2245,Seraphim Call,124,15,175
6392,Issho ni Training: Training with Hinako,37,15,175
36542,Boku wa Robot-goshi no Kimi ni Koi wo Suru,91,137,200
14289,Sukitte Ii na yo.,1,47,123
936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,76,126,157
1370,Atama Yama,49,213,149
32281,Kimi no Na wa.,87,55,105
3044,Tetsuwan Atom (1980),133,149,178
30921,Kacchikenee!,109,15,207
32568,Kamiwaza Wanda,126,219,184
30355,Wakaba*Girl,189,133,109
20423,Kamisama no Inai Nichiyoubi: Kioku,178,187,109
602,KO Seiki Beast Sanjuushi,124,15,116
539,Tenchi Muyou! Ryououki,67,175,165
18295,Kakumeiki Valvrave 2nd Season,149,59,126
28119,Kuma no Minakuro to Kouhei Jiisan,96,142,219
10838,Double-J,103,164,92
2038,Mahou no Star Magical Emi,109,15,178
15649,Puchimas!: Petit iDOLM@STER,210,31,179
31,Neon Genesis Evangelion: Death & Rebirth,70,169,123
1364,Detective Conan Movie 05: Countdown to Heaven,8,82,126
7551,Gowapper 5 Gordam,126,219,196
2704,Kaiketsu Jouki Tanteidan,10,196,178
2928,.hack//G.U. Returner,23,98,162
2253,Mazinger Z,133,149,178
6795,Genius Party Beyond,49,213,42
2037,Hime-chan no Ribbon,133,149,175
21195,Soul Eater: Late Night Show,77,137,67
5918,Deimos no Hanayome: Ran no Kumikyoku,10,196,178
36565,Major 2nd (TV),69,68,89
2129,True Tears,207,111,104
5643,Kimi no Na wo Yobeba,163,137,178
32982,Imakara Atashi......,163,137,68
15411,Arcana Famiglia: Capriccio - stile Arcana Famiglia,84,209,147
5941,Cross Game,216,41,97
6418,Eyeshield 21: Jump Festa 2005 Special,188,189,178
3059,Ninja Senshi Tobikage,59,149,178
12067,Rurouni Kenshin Special,31,190,103
